modality,model_name,split,residual_mechanism,recovery_route,n_errors,n_high_conf_errors,mean_confidence,mean_entropy,scenarios,confusion_pairs
scan,class_weighted_focal_scan_goal,test,boundary_direction_confusion,CAUTIOUS_MODE,5,0,0.712503564,0.604062894,nominal,NORTH->WEST|WEST->NORTH
scan,baseline_scan_goal,train,perception_axis_confusion,CAUTIOUS_REPLAN,12,2,0.7397053441666667,0.5021638145,perception_degradation,EAST->SOUTH|SOUTH->EAST
fusion,baseline_scan_depth_goal,train,perception_axis_confusion,CAUTIOUS_REPLAN,9,2,0.72647959,0.5224740933333334,perception_degradation,EAST->SOUTH|SOUTH->EAST
fusion,class_weighted_focal_scan_depth_goal,train,perception_axis_confusion,CAUTIOUS_REPLAN,47,1,0.6809555627659575,0.6035677653191489,perception_degradation,SOUTH->EAST
scan,class_weighted_focal_scan_goal,train,perception_axis_confusion,CAUTIOUS_REPLAN,32,1,0.64504916375,0.62750798375,perception_degradation,SOUTH->EAST
depth,baseline_depth_goal,train,geometric_policy_residual,HUMAN_REVIEW,7,1,0.696986907142857,0.5709915314285714,nominal,EAST->SOUTH|SOUTH->EAST
depth,baseline_depth_goal,train,blocked_path_high_conf_direction_error,REPLAN,1,1,0.91648084,0.28900963,external_path_blockage,WEST->SOUTH
fusion,baseline_scan_depth_goal,train,blocked_path_high_conf_direction_error,REPLAN,1,1,0.9031642,0.3233867,external_path_blockage,SOUTH->EAST
fusion,class_weighted_focal_scan_depth_goal,train,blocked_path_high_conf_direction_error,REPLAN,1,1,0.9121964,0.30491698,external_path_blockage,SOUTH->EAST
scan,baseline_scan_goal,train,blocked_path_high_conf_direction_error,REPLAN,1,1,0.9236692,0.2731771,external_path_blockage,SOUTH->EAST
fusion,class_weighted_focal_scan_depth_goal,train,blocked_path_direction_error,REPLAN,33,0,0.6799594645454545,0.6175209287878788,external_path_blockage,SOUTH->EAST|WEST->NORTH|WEST->SOUTH
scan,class_weighted_focal_scan_goal,train,blocked_path_direction_error,REPLAN,31,0,0.6393680896774193,0.6499596987096774,external_path_blockage,SOUTH->EAST|WEST->NORTH|WEST->SOUTH
fusion,class_weighted_focal_scan_depth_goal,train,geometric_policy_residual,HUMAN_REVIEW,21,0,0.6933209514285714,0.610822069047619,nominal,SOUTH->EAST
depth,baseline_depth_goal,train,blocked_path_direction_error,REPLAN,17,0,0.6819815523529412,0.6023164888235294,external_path_blockage,EAST->SOUTH|NORTH->WEST|SOUTH->EAST|WEST->NORTH|WEST->SOUTH
scan,baseline_scan_goal,train,blocked_path_direction_error,REPLAN,16,0,0.666700186875,0.614045935625,external_path_blockage,EAST->SOUTH|NORTH->WEST|SOUTH->EAST|WEST->SOUTH
depth,baseline_depth_goal,train,perception_axis_confusion,CAUTIOUS_REPLAN,14,0,0.6707271035714285,0.6184810921428571,perception_degradation,EAST->SOUTH|SOUTH->EAST
scan,class_weighted_focal_scan_goal,train,geometric_policy_residual,HUMAN_REVIEW,13,0,0.6594467853846153,0.6318193884615385,nominal,SOUTH->EAST
fusion,baseline_scan_depth_goal,train,blocked_path_direction_error,REPLAN,9,0,0.7125947655555556,0.57589931,external_path_blockage,EAST->SOUTH|NORTH->WEST|SOUTH->EAST|WEST->SOUTH
scan,baseline_scan_goal,train,geometric_policy_residual,HUMAN_REVIEW,7,0,0.6629598057142857,0.61046337,nominal,EAST->SOUTH|SOUTH->EAST
fusion,baseline_scan_depth_goal,train,geometric_policy_residual,HUMAN_REVIEW,3,0,0.6570704566666666,0.6391483133333334,nominal,EAST->SOUTH
scan,class_weighted_focal_scan_goal,train,boundary_direction_confusion,CAUTIOUS_MODE,2,0,0.58989505,0.699183135,nominal,WEST->NORTH
depth,baseline_depth_goal,train,boundary_direction_confusion,CAUTIOUS_MODE,1,0,0.59423906,0.68747735,nominal,NORTH->WEST
fusion,class_weighted_focal_scan_depth_goal,train,boundary_direction_confusion,CAUTIOUS_MODE,1,0,0.6021563,0.6926901,nominal,WEST->NORTH
fusion,class_weighted_focal_scan_depth_goal,train,perception_lateral_depth_confusion,CAUTIOUS_REPLAN,1,0,0.55010986,0.70499164,perception_degradation,WEST->NORTH
scan,baseline_scan_goal,train,boundary_direction_confusion,CAUTIOUS_MODE,1,0,0.5926592,0.6821984,nominal,WEST->NORTH
scan,baseline_scan_goal,train,perception_lateral_depth_confusion,CAUTIOUS_REPLAN,1,0,0.5509088,0.69416046,perception_degradation,NORTH->WEST
scan,class_weighted_focal_scan_goal,train,perception_lateral_depth_confusion,CAUTIOUS_REPLAN,1,0,0.5389308,0.72154737,perception_degradation,WEST->NORTH
fusion,baseline_scan_depth_goal,val,perception_axis_confusion,CAUTIOUS_REPLAN,70,34,0.8469013315714286,0.35112590756257145,perception_degradation,EAST->SOUTH|SOUTH->EAST
fusion,baseline_scan_depth_goal,val,blocked_path_high_conf_direction_error,REPLAN,23,23,0.9780793939130434,0.09715448130326088,external_path_blockage,EAST->SOUTH|SOUTH->EAST|WEST->NORTH|WEST->SOUTH
fusion,baseline_scan_depth_goal,val,geometric_policy_residual,HUMAN_REVIEW,54,21,0.785102175,0.4136835562109259,nominal,EAST->SOUTH|SOUTH->EAST|WEST->SOUTH
scan,baseline_scan_goal,val,blocked_path_high_conf_direction_error,REPLAN,19,19,0.9743259926315789,0.11533306600526316,external_path_blockage,EAST->SOUTH|SOUTH->EAST|WEST->NORTH|WEST->SOUTH
scan,baseline_scan_goal,val,perception_axis_confusion,CAUTIOUS_REPLAN,52,18,0.8217623409615384,0.3902322310180769,perception_degradation,EAST->SOUTH|SOUTH->EAST
