modality,model_name,split,scenario_id,confusion_pair,residual_mechanism,recovery_route,n_high_conf_errors,mean_confidence,mean_risk,mean_sensor_confidence,mean_path_blocked_score
scan,class_weighted_focal_scan_goal,val,external_path_blockage,WEST->SOUTH,blocked_path_high_conf_direction_error,REPLAN,3,0.9177386166666667,0.2756,0.92,0.7200000000000001
fusion,baseline_scan_depth_goal,val,nominal,NORTH->WEST,boundary_direction_confusion,CAUTIOUS_MODE,2,0.98501628,0.071,0.92,0.05
fusion,class_weighted_focal_scan_depth_goal,val,perception_degradation,SOUTH->EAST,perception_axis_confusion,CAUTIOUS_REPLAN,2,0.90986755,0.1926,0.16,0.05
scan,baseline_scan_goal,val,nominal,NORTH->WEST,boundary_direction_confusion,CAUTIOUS_MODE,2,0.935737725,0.071,0.92,0.05
scan,class_weighted_focal_scan_goal,val,perception_degradation,EAST->SOUTH,perception_axis_confusion,CAUTIOUS_REPLAN,2,0.910836475,0.1926,0.16,0.05
depth,baseline_depth_goal,val,external_path_blockage,EAST->SOUTH,blocked_path_high_conf_direction_error,REPLAN,1,0.911017,0.2756,0.92,0.72
depth,baseline_depth_goal,val,nominal,NORTH->WEST,boundary_direction_confusion,CAUTIOUS_MODE,1,0.99604625,0.071,0.92,0.05
fusion,baseline_scan_depth_goal,val,external_path_blockage,EAST->SOUTH,blocked_path_high_conf_direction_error,REPLAN,1,0.9984907,0.2756,0.92,0.72
fusion,baseline_scan_depth_goal,val,perception_degradation,NORTH->WEST,perception_lateral_depth_confusion,CAUTIOUS_REPLAN,1,0.9841627,0.1926,0.16,0.05
fusion,class_weighted_focal_scan_depth_goal,val,nominal,WEST->SOUTH,geometric_policy_residual,HUMAN_REVIEW,1,0.90836674,0.071,0.92,0.05
scan,baseline_scan_goal,val,external_path_blockage,EAST->SOUTH,blocked_path_high_conf_direction_error,REPLAN,1,0.93909997,0.2756,0.92,0.72
scan,baseline_scan_goal,val,nominal,SOUTH->EAST,geometric_policy_residual,HUMAN_REVIEW,1,0.9332881,0.071,0.92,0.05
scan,baseline_scan_goal,val,perception_degradation,NORTH->WEST,perception_lateral_depth_confusion,CAUTIOUS_REPLAN,1,0.9094958,0.1926,0.16,0.05
scan,baseline_scan_goal,val,perception_degradation,SOUTH->EAST,perception_axis_confusion,CAUTIOUS_REPLAN,1,0.9540058,0.1926,0.16,0.05
scan,class_weighted_focal_scan_goal,val,external_path_blockage,SOUTH->EAST,blocked_path_high_conf_direction_error,REPLAN,1,0.90212446,0.2756,0.92,0.72
